idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
33,16.32312,0.20755,1.30167,0.68953,1.94703,1.03571,-0.12219,0.19553,-1.00937,0.26920,0.11263,0.12124,0.22979,0.06284,-0.32589,3.13819,0.15372
34,16.38143,-0.00103,1.20134,0.89066,2.28076,0.53180,0.09996,0.23279,-0.24256,-0.60128,0.04436,0.12410,0.17964,0.11247,0.06521,5.91027,0.14694
35,16.67117,0.10613,0.84387,0.74101,3.05505,0.98623,-0.20484,0.19483,-0.91612,1.25889,0.15648,0.13484,0.17691,0.07684,0.19015,5.15960,0.14097
36,14.59273,-0.43125,1.51438,1.18539,0.97844,0.97591,-0.12742,0.25247,-0.63789,-0.33929,0.15336,0.10300,0.20097,0.07064,-0.45761,4.15402,0.15111
37,13.99316,0.01396,1.63558,1.13066,1.14351,0.95521,0.11147,0.23465,-0.70927,-0.15048,0.09535,0.16455,0.18237,0.13182,-0.07312,4.49767,0.13369
38,16.11628,-0.02742,1.25849,1.10496,1.32710,0.71633,-0.10610,0.19034,-0.95297,1.01302,0.02852,0.08356,0.24908,0.12332,-0.46184,5.72092,0.13908
39,13.51514,-0.24058,1.01979,0.76782,4.15443,0.80356,0.13137,0.25134,0.55730,0.29208,0.08587,0.13526,0.19477,0.13549,0.00206,3.39358,0.13421
40,15.95983,0.42384,1.68927,0.69813,2.15590,0.83449,0.05324,0.26469,-0.64124,0.81604,0.19033,0.14014,0.20698,0.06345,-0.38064,4.18330,0.14859
41,14.23692,-0.32775,1.27775,1.37657,3.42458,1.18974,-0.09285,0.18576,-0.66298,1.33352,0.05075,0.14691,0.23781,0.10341,-0.15378,4.32916,0.14600
42,11.35071,-0.27490,1.53434,0.83472,3.63977,0.44153,-0.05959,0.19117,0.36882,1.85676,0.09222,0.10127,0.27256,0.10807,-0.19338,4.85304,0.15277
43,14.86194,0.16783,0.53732,0.88197,3.21960,1.55462,0.20342,0.16901,-1.39910,0.08301,0.15000,0.16044,0.21863,0.07910,0.09971,5.37159,0.15417
44,16.36250,0.48453,0.66735,1.17660,1.35455,1.06329,-0.04406,0.15521,-1.20612,0.66992,0.08228,0.08064,0.19218,0.06118,0.41723,6.34495,0.14768
45,15.53054,0.22743,1.15642,0.92873,3.53451,0.63253,0.12838,0.17054,-0.20749,-0.25844,0.11643,0.06630,0.23362,0.07339,-0.38640,6.74749,0.14079
46,14.48204,0.36788,0.77514,0.80484,1.83228,1.02436,0.26548,0.20799,-0.39942,1.53551,0.09610,0.08998,0.21531,0.09664,0.45113,4.43374,0.14743
47,15.44566,0.47070,0.61518,0.72778,1.47952,1.14035,0.10864,0.26702,-0.16256,-0.26784,0.13804,0.14735,0.23568,0.10190,0.04683,4.12382,0.13531
48,15.31252,0.03808,1.28531,1.18359,2.86337,1.45978,-0.06330,0.22360,0.12502,0.14786,0.15187,0.12771,0.21270,0.06195,0.52172,5.19827,0.15876
49,17.54200,0.34421,0.87322,0.86467,2.78573,1.61708,0.09292,0.20557,-0.46391,-0.35986,0.13240,0.03251,0.20317,0.10549,-0.00054,5.43606,0.15342
