idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
143,18.77330,-0.66264,1.21810,1.25311,0.60995,1.59709,-0.13752,0.27200,-1.56430,0.93327,0.07613,0.10617,0.20100,0.04272,-0.31806,6.53437,0.14149
144,10.81495,0.25143,1.82177,1.43939,3.41008,0.39975,-0.14111,0.16198,-1.49312,0.03962,0.10894,0.03923,0.24874,0.08121,-0.73522,4.88203,0.14587
145,12.46992,-0.16507,0.38772,0.85641,1.94503,0.80891,-0.07403,0.25185,-0.56895,0.35208,0.08314,0.16340,0.16984,0.13776,0.14934,4.52037,0.14339
146,13.69389,0.17739,0.45193,1.22872,1.88031,1.11180,0.19822,0.14620,-0.96590,0.85921,0.06134,0.16832,0.20794,0.09427,0.23820,3.31634,0.13495
147,18.99765,0.57843,1.23599,0.65009,1.61559,0.40389,-0.02586,0.23331,-1.04411,-0.19671,0.07584,0.12543,0.22399,0.09872,0.61582,5.59714,0.13046
148,12.58935,0.28993,1.57215,1.27321,4.03293,1.59269,0.00051,0.18333,-0.97173,0.98874,0.03826,0.03298,0.12434,0.12729,-0.25379,3.80706,0.14568
149,15.61733,-0.37586,1.26631,0.84986,4.00565,1.72504,-0.25519,0.16482,0.55019,0.00992,0.13514,0.05781,0.26052,0.11083,0.62410,7.13577,0.16481
150,17.23447,0.31727,0.87498,1.20431,1.25452,1.46987,0.15151,0.24724,-0.00546,0.60386,0.18492,0.04362,0.14727,0.12407,0.01898,7.44887,0.13987
151,14.60471,-0.13371,1.90618,0.82463,4.68536,0.85559,0.01527,0.14204,-1.22176,0.20653,0.03126,0.04219,0.27833,0.10084,-0.33355,3.27243,0.15463
152,16.42176,-0.33313,1.55459,1.43202,1.07876,1.44789,-0.09369,0.25343,-0.47154,1.90166,0.18460,0.06922,0.17760,0.06770,-0.48768,3.40598,0.15505
153,11.00520,0.49954,1.32706,1.25140,1.78625,1.81399,-0.24113,0.22139,-0.45560,1.30942,0.12023,0.10986,0.26579,0.12559,0.79470,6.55285,0.13627
154,11.67755,0.44281,1.52041,0.98292,0.75188,1.76467,0.03514,0.18786,-1.75561,0.41261,0.04338,0.07466,0.23025,0.03851,0.37697,2.91052,0.13790
155,14.55158,0.38706,0.63354,1.09705,1.76638,1.78415,0.25826,0.25498,0.58353,0.16784,0.08961,0.18646,0.25057,0.05949,-0.23806,3.87096,0.15425
156,15.90603,-0.52955,1.32207,0.72353,3.59047,0.76162,0.21561,0.19903,0.39617,0.62642,0.04952,0.06556,0.15623,0.12009,0.51177,6.07814,0.13895
157,13.78353,0.27115,1.57924,0.81046,0.45394,0.81044,-0.21108,0.22632,0.67732,1.24193,0.04068,0.14467,0.17078,0.06407,0.60798,5.21194,0.16011
158,16.70917,0.32831,0.77686,1.29052,1.29309,1.17090,0.19584,0.27024,-1.87299,0.92439,0.10013,0.06395,0.25254,0.12647,0.46016,4.53981,0.14529
159,15.43447,-0.40813,1.95496,1.09172,0.71192,0.68772,0.19705,0.16030,0.23097,1.71925,0.07541,0.04800,0.22279,0.11729,0.04189,5.78398,0.15884
160,15.15650,-0.47536,1.17686,1.26546,3.67772,1.25989,0.14959,0.24269,0.82414,-0.25536,0.15731,0.15229,0.13080,0.04610,-0.29412,5.62658,0.15347
161,16.83835,-0.64264,0.71854,0.86032,3.93088,0.71218,0.16522,0.26639,0.35057,1.66944,0.17586,0.16954,0.24730,0.09164,0.10757,7.28269,0.14783
162,18.22033,0.34803,0.63871,0.90427,3.33869,0.56635,0.13563,0.26395,-0.31283,0.26478,0.07481,0.02427,0.12605,0.12946,-0.27393,4.25268,0.15912
163,13.14770,-0.37802,1.14293,1.41220,4.18985,0.92510,0.16111,0.25412,-1.07468,1.10540,0.10175,0.14666,0.17129,0.09723,0.03983,7.16676,0.13160
164,14.70189,-0.00842,0.71366,0.75854,1.27969,1.96050,-0.18868,0.14445,-0.79268,0.33919,0.19205,0.16586,0.17564,0.04311,0.43648,6.24101,0.15537
165,16.26240,0.35846,0.52950,1.11400,2.90197,0.42955,0.11197,0.21647,0.41876,-0.53264,0.08376,0.05701,0.16642,0.05761,0.02679,5.10513,0.13078
166,14.85132,0.12002,1.92385,0.67404,3.81794,1.87286,-0.00283,0.17784,-0.69976,1.75813,0.02073,0.06708,0.27639,0.04004,-0.21104,3.85227,0.13717
167,12.60387,-0.28316,0.49874,0.59288,2.06857,1.83150,0.21317,0.25962,-1.37794,1.81263,0.14005,0.03159,0.22992,0.11288,-0.43758,3.24024,0.13858
168,14.88957,0.12815,1.20492,0.86825,3.26135,0.91964,0.26260,0.23809,-1.68172,-0.66940,0.06305,0.19165,0.16711,0.07758,0.68777,3.87268,0.15012
169,16.99754,-0.10537,1.31989,1.02910,4.08208,1.92341,-0.29831,0.24324,-1.31746,-0.46460,0.11953,0.12208,0.25375,0.11595,0.38907,6.26049,0.14012
170,19.55109,0.51291,1.43511,0.91326,4.81195,1.56057,-0.05858,0.16987,0.40876,0.37388,0.14533,0.08446,0.28560,0.05716,0.31487,6.78409,0.13351
171,10.36425,0.38630,1.72341,1.40049,2.96065,0.67961,0.24763,0.13950,-1.64628,0.53145,0.17320,0.08193,0.15738,0.02827,0.14424,3.12592,0.14907
172,14.16823,0.00730,1.38305,0.96487,2.27844,1.00516,-0.06395,0.15112,0.52780,1.88587,0.17751,0.13546,0.25822,0.10027,0.28891,7.40401,0.15863
173,15.01968,0.08478,1.61232,0.89698,2.94740,1.16985,0.09528,0.20280,0.08597,-0.57955,0.19010,0.12273,0.20208,0.13652,-0.43046,4.60810,0.16496
174,14.63325,0.55248,0.68668,0.89596,2.83691,1.94106,-0.03582,0.25275,0.64273,0.87337,0.07371,0.14053,0.14923,0.13965,-0.52253,7.07435,0.15541
175,18.64720,0.26754,0.46079,1.25604,2.53397,0.62424,0.22244,0.23963,-0.28624,1.30009,0.17263,0.06801,0.27065,0.04281,0.21858,3.97037,0.13007
176,18.55036,0.03952,0.75858,1.28344,4.61930,1.95498,0.07212,0.27507,-0.03898,-0.82062,0.07519,0.11607,0.28923,0.05611,-0.09453,7.65366,0.13553
177,14.96483,0.34678,1.66711,1.27837,1.96610,0.53773,0.22763,0.22802,-0.48824,0.78370,0.16930,0.02318,0.18298,0.02812,-0.19056,6.27559,0.13213
178,14.41518,0.36585,1.27537,1.15888,0.83010,1.39055,-0.20704,0.28330,-1.45574,-0.03662,0.02327,0.10601,0.14831,0.13518,-0.18299,2.46069,0.15685
179,11.58247,0.40431,1.67411,1.01809,1.44685,1.22467,-0.12479,0.17486,-1.15124,1.78267,0.12875,0.01061,0.23065,0.05057,-0.16488,6.09160,0.15704
180,18.20652,-0.65519,0.44439,0.88814,2.72736,1.96839,0.21638,0.20627,-1.34930,-0.27958,0.05412,0.05111,0.26150,0.06870,0.11021,5.76408,0.14004
181,15.13709,-0.24934,1.86277,0.78150,0.83624,1.80980,0.17409,0.20062,-0.25773,-0.38582,0.05701,0.04278,0.20165,0.03766,0.40359,2.75286,0.16174
182,11.29731,0.24213,1.17891,1.06185,3.73594,1.98658,-0.11916,0.27726,-0.88007,-0.60675,0.04613,0.06146,0.15599,0.09615,-0.60856,7.49050,0.13467
183,12.12886,0.09996,0.49283,1.23550,3.68601,0.72231,0.24180,0.25536,-0.87588,1.11404,0.01167,0.16758,0.19941,0.08679,-0.71712,3.14598,0.16157
184,15.51938,0.47598,1.29932,1.05196,0.36276,0.86246,0.24251,0.16678,-0.55464,-0.41814,0.04420,0.11249,0.26761,0.12992,-0.44213,6.25286,0.13671
185,11.04467,-0.08635,1.58847,1.05472,2.24467,1.45577,0.16792,0.19170,-0.82466,-0.92409,0.19525,0.09932,0.16414,0.05729,0.72110,6.04882,0.13972
186,18.58483,0.16329,1.89188,0.98981,2.09143,1.73662,-0.03144,0.26090,-0.89760,0.63460,0.12475,0.17661,0.25855,0.14874,-0.24720,3.30768,0.13864
187,10.38433,0.53640,1.77411,0.66119,2.98880,0.89373,-0.02827,0.23924,-0.84447,1.41073,0.03082,0.11956,0.26347,0.11263,0.36834,5.00547,0.15083
188,19.19372,0.19205,1.07304,0.97165,4.22231,1.34295,0.02947,0.22544,-1.31172,1.19460,0.19200,0.07112,0.20723,0.05830,-0.55570,7.14845,0.15557
189,19.76319,-0.14088,1.28695,1.38309,3.46976,1.75110,0.27878,0.20702,-0.32933,-0.71935,0.02428,0.13582,0.20897,0.04489,0.00459,3.62400,0.14579
190,11.57850,-0.28680,1.11475,1.10158,0.74508,1.89019,0.18517,0.18156,-1.04643,0.82553,0.09949,0.17137,0.13501,0.11625,0.28056,5.74555,0.16159
191,18.70500,0.49283,1.99953,1.03141,1.85996,0.45395,-0.08030,0.16795,0.14162,1.95500,0.10079,0.17590,0.18685,0.04109,-0.10043,5.22148,0.14411
192,14.69717,0.58062,0.45921,0.63206,4.86819,1.48249,0.14551,0.20958,-1.02574,0.47271,0.16759,0.08610,0.24708,0.13370,0.33725,3.28766,0.15809
193,17.00208,-0.55216,0.48804,0.70630,0.14655,0.84418,-0.20377,0.23589,0.03843,0.39749,0.10240,0.15252,0.18544,0.05264,0.25481,3.52266,0.16050
194,15.55940,0.29498,1.62616,0.71309,0.33107,1.15184,0.07074,0.24181,0.14608,-0.62353,0.13956,0.14864,0.28365,0.02644,-0.51826,3.26072,0.15035
195,14.91238,0.68102,1.80553,0.72092,4.31062,1.71786,0.09038,0.28023,0.28208,-0.48213,0.19484,0.15437,0.23704,0.08808,0.64512,5.65031,0.14183
196,18.01786,-0.03408,1.35093,0.84213,3.39347,1.31922,0.17815,0.17964,0.54886,1.16704,0.14499,0.07165,0.15677,0.06311,-0.15822,3.05201,0.14421
197,16.19598,-0.33324,0.65049,1.35702,1.01873,1.08487,0.10266,0.22248,0.15398,-0.02138,0.03007,0.18201,0.27551,0.10597,0.39396,5.83378,0.14950
198,10.13560,-0.48628,1.64882,0.66970,3.11926,1.74346,0.18310,0.27800,-0.53660,-0.33297,0.12184,0.15989,0.16272,0.14267,-0.08586,6.33600,0.13403
199,16.94634,0.14487,0.98779,1.12885,3.96527,0.64337,-0.23000,0.15625,-0.94145,1.95800,0.14072,0.15708,0.25493,0.12804,-0.07814,2.83236,0.14091
200,12.90305,0.54297,1.97583,1.30919,1.13356,0.97024,-0.20879,0.28461,0.80574,-0.05612,0.11364,0.06346,0.19107,0.14507,-0.05430,5.74157,0.15644
201,12.99252,-0.01818,0.74006,0.58376,3.46182,0.38981,-0.11437,0.17026,-0.85660,0.97597,0.10825,0.09064,0.19693,0.07735,-0.37718,7.38137,0.15997
202,18.63456,0.38320,0.68950,0.81429,0.67374,1.22560,0.11040,0.18998,-0.99437,0.70978,0.02571,0.16081,0.14374,0.03393,0.06797,3.49039,0.15990
203,17.84888,0.63338,0.45613,0.59432,1.03400,1.78859,-0.18447,0.16348,0.29768,1.00905,0.11126,0.05215,0.26511,0.12529,-0.65212,4.16128,0.15116
204,15.41369,0.03565,1.75431,0.64958,1.49240,1.89397,-0.05003,0.19640,-1.46024,0.22019,0.17162,0.05407,0.21895,0.06476,-0.56938,7.93519,0.13886
205,18.27672,-0.31641,0.91083,1.32795,3.64587,1.75853,-0.16611,0.27175,0.92562,1.54493,0.12702,0.04057,0.28965,0.04970,0.60116,4.22503,0.15824
206,15.24291,-0.55701,1.79459,1.29562,1.43417,1.69762,-0.22744,0.13644,-1.48252,1.37065,0.05065,0.05587,0.24222,0.07837,0.08282,6.82825,0.14344
207,12.33390,0.29365,0.39108,0.88654,3.73242,1.45050,0.18206,0.27578,-0.20511,0.76027,0.14237,0.06421,0.15392,0.04087,0.38154,2.25960,0.16169
208,18.53413,0.44035,1.49363,1.29662,1.84169,1.33867,0.10468,0.16628,-1.88365,0.48439,0.19763,0.16652,0.15525,0.12383,0.26108,3.15710,0.15451
209,12.07729,0.37706,0.41603,1.40511,1.71255,0.89615,0.19425,0.16726,-1.40812,0.86608,0.17064,0.13102,0.21562,0.03081,-0.58349,5.87675,0.14444
210,11.99739,0.35107,1.47632,1.36112,0.84587,0.93295,0.14782,0.20724,-1.06266,1.93668,0.16174,0.06770,0.23676,0.12610,-0.66583,2.33045,0.16330
211,17.43536,-0.12087,0.78383,0.58113,3.75207,0.59571,0.01595,0.16129,0.71464,1.20387,0.08108,0.19630,0.19392,0.03958,0.07296,7.21468,0.14202
212,16.56784,0.57166,1.82907,1.44200,1.06028,1.47338,0.01847,0.27911,-1.14278,-0.65944,0.17129,0.09630,0.16600,0.04915,-0.35337,5.48995,0.15610
213,19.99392,-0.53431,0.57680,0.70960,3.15917,1.77039,-0.17281,0.29658,-0.39064,0.46101,0.02354,0.04439,0.20949,0.08720,-0.26979,3.77975,0.13114
214,19.44505,0.50478,0.97022,1.20954,4.41224,1.24259,-0.22221,0.13344,-1.08002,0.61892,0.07067,0.10026,0.13313,0.07825,-0.38257,6.12959,0.14118
215,12.69869,0.24911,0.92396,1.33436,1.89340,1.30586,-0.10862,0.17911,-0.11119,1.56761,0.03719,0.15496,0.28996,0.11849,-0.69473,6.10416,0.14233
216,11.02206,-0.06535,1.11876,1.02616,4.81742,1.50055,-0.20186,0.16545,-1.36325,1.28282,0.18414,0.02918,0.18704,0.06952,-0.75955,2.97421,0.16075
217,15.97908,0.28135,0.98416,1.19609,4.87726,1.95820,-0.04489,0.20671,-0.33216,1.14303,0.19259,0.18488,0.14013,0.04835,0.76766,4.81195,0.13234
218,11.73341,0.22990,1.59676,1.08003,0.43982,0.90393,0.27263,0.13497,-0.31944,-0.58751,0.03216,0.14503,0.13444,0.05332,0.33379,6.21842,0.14140
219,19.63815,0.38996,0.95141,0.74346,0.85641,1.60962,0.01302,0.28582,0.02132,0.86003,0.09906,0.04087,0.27325,0.04594,-0.10872,6.84418,0.13542
220,18.88574,-0.61343,1.18146,0.94730,3.54125,0.47225,-0.13425,0.17669,-1.55609,-0.90050,0.08540,0.16716,0.13040,0.08903,-0.64533,5.08899,0.15136
221,17.58684,0.64679,0.54062,0.69150,1.82694,1.39943,-0.08157,0.23031,-1.24666,-0.30724,0.05312,0.17450,0.25880,0.04041,-0.61611,6.59268,0.14847
222,19.87400,0.24449,0.32986,1.21730,3.28342,0.39643,-0.27217,0.17450,0.86745,0.11640,0.05207,0.08871,0.28394,0.03237,0.19319,2.17117,0.13362
223,19.95920,0.46998,1.37400,1.33101,1.08320,0.46621,0.07323,0.18345,0.64826,1.17449,0.08881,0.08562,0.14066,0.11751,0.27547,2.15326,0.16276
224,17.75173,0.12216,0.37882,1.01195,3.85447,0.41119,0.08232,0.13382,-0.36099,-0.23574,0.16856,0.11060,0.17044,0.07560,0.68907,5.05717,0.15734
225,19.68419,0.39729,1.49175,1.32006,2.52480,1.99434,-0.06797,0.18480,-1.25754,-0.11560,0.15150,0.02978,0.29168,0.08960,0.16035,4.01649,0.15787
226,18.43639,-0.54209,0.96473,0.66232,0.58999,1.35901,0.17057,0.28824,-1.92664,0.28317,0.16689,0.13434,0.20463,0.13927,0.60395,7.63088,0.15657
227,15.19362,-0.49928,0.85600,0.57395,0.68450,1.84748,0.09458,0.15477,-0.04931,1.78722,0.06539,0.06077,0.13905,0.11953,0.09289,6.72485,0.14777
228,17.50677,0.22541,0.65379,0.63956,4.06745,0.74735,-0.05300,0.27634,-0.67869,-0.68538,0.08011,0.10895,0.20607,0.05249,0.39939,6.87735,0.16460
229,18.12597,-0.63206,1.65348,1.41151,1.25788,0.48964,0.06618,0.14903,-1.69169,-0.08441,0.03540,0.16869,0.22480,0.14348,0.12397,6.36696,0.15248
230,17.56557,-0.11792,0.85031,0.93030,0.40721,0.90852,-0.17135,0.20330,-1.18069,1.74559,0.09399,0.02728,0.17536,0.13880,-0.67737,5.45549,0.14991
231,17.60033,-0.37085,0.94319,1.13467,3.84287,0.73985,-0.08639,0.25068,-1.70967,-0.99693,0.13866,0.02085,0.23438,0.12689,-0.68130,6.97789,0.13571
232,11.10342,0.02020,1.77829,1.21947,3.71817,0.77892,-0.08454,0.22704,-1.35553,1.17821,0.17407,0.18258,0.21117,0.05540,0.40036,3.74279,0.15307
233,17.98299,0.22351,1.23975,0.57895,0.50233,0.38580,0.02084,0.18620,0.78399,1.70235,0.18973,0.14216,0.23320,0.10930,-0.14586,2.19096,0.15374
234,10.42242,0.32747,1.31119,0.91418,3.36895,1.91034,-0.28091,0.24903,0.54131,0.10006,0.06380,0.18100,0.15424,0.04062,0.36465,5.57323,0.14105
235,19.15947,-0.47240,1.98970,0.72509,3.92938,0.85084,-0.01220,0.29432,-0.74135,-0.98882,0.07294,0.09226,0.24439,0.12835,0.43955,6.75390,0.14641
236,15.70386,-0.07692,1.12912,1.29316,3.69460,1.27474,-0.23516,0.29079,0.09494,-0.61011,0.04990,0.01331,0.28235,0.13393,0.58924,3.22418,0.13871
237,13.02289,-0.54808,0.41113,1.47949,2.73510,1.25047,0.27229,0.22969,0.25091,1.76401,0.03453,0.09167,0.25709,0.10499,0.38468,2.02902,0.13815
238,12.27072,0.37876,1.39362,1.42860,4.44556,0.72036,0.15491,0.22437,-0.07235,0.33026,0.08622,0.03998,0.27772,0.04863,0.29545,3.17325,0.15497
239,11.38399,0.52744,1.30753,0.62956,0.16921,1.55359,-0.16766,0.15684,0.73102,0.58281,0.16498,0.08321,0.27095,0.04986,0.43385,4.44115,0.14481
240,14.14102,-0.08217,1.37007,1.06606,0.46689,0.37754,-0.11804,0.26618,0.50924,-0.13219,0.11605,0.12462,0.20026,0.05895,0.37387,2.80933,0.13273
241,17.20245,-0.25923,1.16714,0.56174,3.24333,1.12061,0.27651,0.19862,-1.90195,1.68663,0.13311,0.13791,0.29187,0.10170,-0.35848,5.41545,0.14922
242,10.61352,0.43808,1.75883,0.63551,2.05503,1.80532,-0.24879,0.23662,-1.63493,-0.81784,0.17974,0.16982,0.14592,0.05030,0.70785,2.70826,0.14376
243,12.93141,-0.47013,1.60129,1.19164,4.65099,1.92025,-0.21318,0.16530,0.31514,1.32645,0.16004,0.11264,0.23468,0.11652,-0.24999,7.05324,0.13578
244,10.93912,-0.46084,1.48005,1.27146,1.67243,0.74251,-0.22542,0.16063,0.31864,-0.02893,0.15852,0.16289,0.18116,0.11484,-0.10373,5.14024,0.14672
245,17.64484,-0.56080,0.61255,0.59836,1.79147,1.86078,-0.15186,0.18657,-0.97792,1.41686,0.17288,0.18795,0.27715,0.09956,-0.29689,4.06987,0.13153
246,10.15774,-0.27059,1.19921,1.27542,4.60106,0.85953,0.28936,0.16250,0.40508,-0.15879,0.19438,0.04956,0.29667,0.06977,-0.08088,6.95358,0.14384
247,18.84888,0.55764,1.78076,0.94467,4.05484,1.05408,-0.03292,0.14350,-1.18434,1.77186,0.10765,0.02891,0.24573,0.09400,0.66051,2.04111,0.13515
248,12.28522,0.35828,1.58199,0.69472,0.72731,1.74615,0.21924,0.27988,0.35814,-0.04764,0.11150,0.10687,0.13150,0.08798,-0.01797,4.19081,0.15486
249,15.69127,-0.41207,1.84174,0.91019,4.52647,1.10758,0.22569,0.14579,-1.55339,0.95858,0.09978,0.01363,0.20600,0.12317,0.03583,7.55790,0.14659
250,16.69720,-0.57615,1.20862,1.45385,0.49634,1.54006,-0.24302,0.15702,-0.22717,-0.58041,0.17442,0.02664,0.22904,0.10615,0.52952,2.63256,0.16105
251,12.05165,0.60276,0.57144,0.87002,1.91094,0.79489,-0.26263,0.27238,-0.48353,-0.45515,0.02447,0.08028,0.28612,0.05659,0.76230,5.24238,0.14403
252,15.64082,-0.17072,1.86637,0.99250,4.26926,1.40491,-0.02161,0.15389,-0.51243,-0.83660,0.13681,0.18240,0.29616,0.05481,-0.39920,5.35713,0.15162
253,18.03214,-0.69000,0.33931,1.48387,4.12155,1.13646,-0.07700,0.14188,-1.72057,-0.95980,0.11073,0.02032,0.14678,0.07114,-0.01333,7.02680,0.14981
254,18.86361,-0.21265,1.68201,1.44922,0.38899,1.18096,0.16041,0.19253,-0.91284,0.42929,0.06771,0.05853,0.14430,0.04247,0.66456,7.47527,0.15603
255,17.83235,0.14773,1.35515,1.38628,3.31230,1.62420,0.20930,0.17489,0.87354,1.45130,0.15577,0.19016,0.27753,0.07777,0.62286,2.35970,0.15746
256,14.29283,-0.14782,0.37161,1.02205,1.12414,1.42009,-0.20000,0.25805,-1.12138,0.91394,0.14868,0.15556,0.15079,0.02660,-0.40720,2.72784,0.13318
257,10.67945,-0.24380,1.53185,1.49082,2.79832,1.82998,0.11396,0.14413,0.66305,1.24757,0.09744,0.10813,0.29236,0.05902,-0.54378,7.57870,0.16036
258,13.16657,0.45058,0.44159,0.71440,3.49366,1.05000,0.14427,0.21611,-0.52434,0.59618,0.18003,0.06210,0.12558,0.13146,-0.74008,4.34719,0.14053
259,16.60065,-0.22721,1.29534,1.33776,3.87332,0.75655,0.11657,0.29215,0.82991,1.52161,0.06924,0.19818,0.27037,0.14884,-0.57908,2.38541,0.15697
260,16.07908,-0.22578,0.81523,1.17131,0.23348,1.84639,-0.06208,0.15906,-1.51442,1.02539,0.03159,0.06934,0.13202,0.08587,0.58699,3.06925,0.14128
261,17.81144,-0.68651,1.22328,0.59679,0.90440,1.34954,-0.21458,0.14805,-1.27454,-0.07591,0.15282,0.03202,0.22034,0.03530,0.48996,4.76677,0.13124
262,17.17310,-0.52104,0.46397,0.75688,4.24361,1.92724,0.11454,0.29270,-1.67254,0.37428,0.11509,0.17871,0.17827,0.07214,0.25719,3.65724,0.15187
263,13.56148,-0.69513,1.21472,0.96869,0.88084,1.85143,-0.25893,0.29957,0.53357,1.03432,0.03329,0.07352,0.19776,0.04167,-0.28762,5.96621,0.15756
264,10.82505,-0.05702,1.96041,1.44135,2.10920,1.37794,0.23198,0.23133,0.06799,-0.84041,0.13010,0.11473,0.24974,0.14191,-0.20398,7.84502,0.15008
265,16.05381,0.37357,1.44536,0.55257,2.26607,1.29386,-0.25055,0.17338,-1.59525,1.13330,0.02153,0.09435,0.15126,0.11070,0.41161,7.90090,0.15407
266,15.03045,0.41702,0.83723,1.24238,0.68785,0.49927,-0.04116,0.27947,-0.10601,-0.46932,0.12386,0.15091,0.26886,0.12973,-0.23487,2.00846,0.16380
267,18.31386,0.49029,1.91077,0.87813,2.42970,0.94278,-0.26343,0.29406,-0.86172,1.55390,0.04183,0.17814,0.23547,0.03724,-0.55805,2.66181,0.13189
268,12.17451,0.39789,1.57680,1.28770,1.04488,1.32484,0.12392,0.21283,0.89332,1.35741,0.02272,0.01438,0.29578,0.11636,0.77636,5.61768,0.16039
269,18.17990,0.31099,1.29123,1.08756,1.38339,1.52514,-0.14282,0.13144,-1.21327,-0.10332,0.08980,0.17689,0.27153,0.07594,0.47504,4.35699,0.13339
270,13.04142,-0.29720,1.92968,0.61769,3.57128,0.82051,-0.15719,0.29678,0.26108,-0.43883,0.19731,0.11524,0.27276,0.09802,-0.78362,6.40063,0.15047
271,10.01187,0.43663,0.71496,0.63765,2.42684,1.11721,0.21207,0.16927,0.30781,-0.34058,0.04874,0.09995,0.15177,0.10912,0.57110,2.96472,0.13825
272,17.78647,-0.40002,0.89151,0.51891,3.07183,1.78227,-0.13650,0.23987,-0.54546,-0.53961,0.05912,0.04924,0.18028,0.13750,-0.63609,5.71523,0.15941
273,11.43796,-0.62033,0.59446,0.54340,0.33416,1.28852,-0.26922,0.17403,-1.83675,-0.39936,0.11841,0.14316,0.26277,0.08326,0.21495,4.97500,0.15069
274,19.85117,-0.02973,1.74585,1.00160,1.65896,0.62922,-0.18969,0.27310,-1.58111,1.27422,0.18312,0.14369,0.15892,0.04636,0.08389,6.28446,0.15920
275,12.23818,-0.21748,0.43087,0.56675,0.58559,1.28467,0.20064,0.29328,0.48597,-0.06811,0.09834,0.07050,0.23293,0.12032,0.65124,7.95360,0.13257
276,11.44157,0.25649,1.76311,1.25994,4.17646,0.34130,0.26640,0.15299,0.61377,0.01935,0.09487,0.13818,0.15286,0.14991,0.32821,3.35729,0.16072
277,12.51635,-0.63987,1.65672,1.38809,3.35967,1.64857,0.04601,0.22621,-0.52099,1.48458,0.10331,0.06040,0.13369,0.05429,-0.72559,3.75495,0.13238
278,13.76713,0.64084,0.39780,1.24968,1.55180,0.99181,-0.14955,0.16443,-0.03213,-0.91492,0.03775,0.19459,0.26701,0.05111,-0.21325,2.45071,0.15719
279,16.35429,-0.20114,1.69657,0.54964,4.89795,0.52116,0.08910,0.22882,-0.71575,1.85299,0.19574,0.02572,0.27343,0.03307,0.58262,4.10477,0.13427
280,10.26563,-0.46224,0.38193,1.43562,2.85436,0.38017,0.12158,0.25458,-1.90467,0.25010,0.03873,0.01727,0.22146,0.04351,0.28484,7.42955,0.13689
281,15.66371,0.56226,1.52085,0.95168,0.13749,1.86641,0.14317,0.17725,-0.90415,1.65621,0.18389,0.03399,0.17011,0.07292,0.44478,4.23279,0.13650
282,10.86781,0.07254,0.56172,1.48631,1.15193,1.68671,0.06505,0.13218,0.62761,0.15624,0.04272,0.03027,0.20552,0.12715,-0.47892,2.20873,0.15578
283,16.21168,-0.44298,1.41205,1.16884,2.36954,0.73699,0.02381,0.19703,-0.79848,1.95133,0.10489,0.19211,0.29415,0.03505,-0.13674,5.25308,0.13137
284,15.58607,-0.23018,1.42330,0.76281,1.22211,1.51225,0.07495,0.27480,-1.01969,1.22718,0.01040,0.15751,0.23503,0.08323,0.54650,7.27441,0.14024
285,10.85312,-0.25745,1.88677,1.34296,3.34452,0.79711,0.28810,0.28251,-1.91126,-0.57338,0.06322,0.09176,0.24117,0.13425,-0.32128,3.93782,0.13199
286,19.80869,0.52121,1.84396,0.90144,3.99133,1.72156,0.03091,0.24811,0.10603,0.31062,0.10663,0.03859,0.24261,0.14632,0.31963,7.41842,0.15961
287,15.33123,-0.66750,1.34031,0.97503,1.69168,0.57083,0.24365,0.26164,0.52134,-0.79936,0.14887,0.13175,0.25770,0.07636,-0.28825,6.62652,0.13008
288,18.14805,0.27162,1.16528,0.61235,0.27950,0.32018,-0.17823,0.17252,0.58656,-0.30265,0.13218,0.07150,0.17471,0.08663,-0.79621,7.77606,0.13024
289,11.62366,-0.18718,1.63733,0.50754,2.47369,0.82616,0.06253,0.29487,-1.52103,1.05079,0.03168,0.08479,0.19857,0.05874,-0.03449,2.14323,0.13279
290,13.10320,-0.53901,0.35517,1.39617,1.70354,0.48053,0.13544,0.22899,-0.94602,-0.32153,0.07770,0.08159,0.12312,0.13453,-0.55182,7.36884,0.13978
291,10.46708,-0.08843,0.48388,1.17212,4.71509,1.80074,0.11588,0.21487,-1.41691,-0.54931,0.03050,0.15794,0.26638,0.04538,0.52543,7.53285,0.14872
292,14.66089,-0.67931,0.52365,1.49605,0.41308,0.55487,-0.08167,0.28031,-0.40734,0.78147,0.07186,0.01506,0.26597,0.08934,0.36692,3.84282,0.15798
293,12.49196,-0.51612,0.37758,1.24740,0.66097,0.55064,0.17730,0.21128,-1.94523,1.42047,0.03738,0.19923,0.17983,0.04475,-0.22277,6.17302,0.16150
294,10.20758,-0.25438,1.37640,1.13664,4.61575,1.44027,0.02580,0.23068,-1.70143,0.24534,0.06636,0.04856,0.27937,0.02967,-0.74739,7.81702,0.16265
295,19.26306,0.58627,1.03627,0.71954,4.69888,1.09293,-0.23252,0.22573,-1.09909,-0.67948,0.17474,0.17928,0.13944,0.09464,-0.04863,4.89901,0.14878
296,10.88188,0.36261,0.87963,0.51357,3.78640,1.99047,0.05606,0.22200,0.09115,1.52612,0.17519,0.15648,0.26203,0.04690,0.27332,6.47415,0.15429
