17.353000	14.853874	14.719105	13.877400	13.467576	16.064231	16.683722
1.504000	1.923796	2.164329	1.237856	0.963986	2.543655	2.759130
1.240000	1.207391	1.476347	1.024629	0.942554	1.396080	1.450356
1.338000	1.649260	1.678853	1.446535	1.323224	1.830849	1.905697
-0.379000	-0.292223	-0.345214	-0.409496	-0.452665	-0.130885	-0.066806
0.159000	0.169867	0.175727	0.116754	0.092555	0.210798	0.228555
0.197000	0.160050	0.192856	0.060906	0.028605	0.244229	0.272018
0.365000	0.224072	0.128600	0.142936	0.121623	0.343373	0.411832
0.207000	0.213477	0.199397	0.163595	0.143322	0.280686	0.326130
-0.228000	-0.301404	-0.685710	-0.625677	-0.712170	0.216826	0.446392
0.000237	0.003526	0.007108	0.000275	0.000074	0.021329	0.039325
0.000289	0.003769	0.007008	0.000267	0.000069	0.022512	0.040748
0.000383	0.003335	0.006936	0.000220	0.000059	0.023173	0.044092
0.000788	0.002175	0.007111	0.000116	0.000031	0.022544	0.047661
0.037607	0.000529	0.006997	0.000029	0.000008	0.013376	0.045146
