11.648000	11.795155	11.886851	11.097258	10.750757	12.529633	12.955023
0.432000	0.490007	0.331729	0.368264	0.332484	0.657544	0.755514
1.250000	0.741347	0.687978	0.597685	0.527463	0.906085	1.009470
1.756000	1.509645	1.749997	1.008904	0.759218	1.790032	1.881675
-0.031000	-0.166533	-0.107137	-0.282152	-0.349653	-0.070794	-0.036141
0.044000	0.099394	0.106815	0.070044	0.053072	0.124084	0.137175
0.168000	0.128573	0.107141	0.055887	0.030155	0.205029	0.240785
0.270000	0.322170	0.414282	0.203021	0.153386	0.425621	0.460307
0.452000	0.326527	0.324930	0.241668	0.202569	0.412984	0.446817
0.739000	-0.161342	-0.685705	-0.568798	-0.680347	0.301252	0.495308
0.019178	0.016275	0.006907	0.003679	0.001205	0.040441	0.056210
0.026685	0.018695	0.006728	0.004201	0.001340	0.044553	0.060390
0.043353	0.022017	0.006997	0.004758	0.001414	0.050091	0.067339
0.136064	0.029297	0.006969	0.004604	0.000846	0.065284	0.085720
0.154897	0.032599	0.007116	0.001452	0.000202	0.100154	0.135673
